Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF/25V,
"C10, C7",0402,2,47nF,
"C11, C16, C17, C18, C21, C22, C23, C24, C25, C27, C28, C4",0805,12,10uF,
"C12, C37, C42, C44, C49, C5, C51, C56",0402,8,0.1uF,
"C13, C19, C20",0402,3,100nF,
"C14, C58, C6",0402,3,10uF,
C15,0402,1,4.7 uF,
"C2, C3",0603,2,100nF/25V,
"C26, C39",0603,2,4.7uF,
C29,0402,1,1nF,
"C30, C33, C70, C78",0603,4,100nF/50V,
"C31, C32, C34, C35, C74, C76, C80, C82",0603,8,22uF/10V,
"C36, C38",0603,2,10uF,
"C40, C45, C46, C47, C48, C50",0603,6,22uF,
C43,0402,1,4.7nF,
C52,0603,1,10u,C19702
"C53, C63, C67",0402,3,100n,C1525
C55,0603,1,4.7nF,
C57,0603,1,1uF,
C60,1206,1,220uF,C412252
C62,0603,1,0.1uF,
C64,0402,1,10n,C15195
"C65, C66",0402,2,1u,C52923
"C8, C9",0402,2,330pF,
"D2, D3",DFN1006-2L-RD,2,PESD24VS1UL-N,C406227
D4,SMB_L4.3-W3.6-LS5.4-RD,1,SMBJ24A_C224017,C224017
D7,0603,1,LED,C72038
FB1,0603,1,FerriteBead,C1002
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C2691448
J3,Edge_Connect_6,1,Conn_01x06_Pin,
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,C495685
L1,IND-SMD_L7.0-W6.6_MCW-0650-220,1,2.2uH,C5349701
"L2, L3",L_Sunlord_SWPA4020S,2,2.2uH/4.3A,C3222957
L4,IND-SMD_L7.5-W7.2-1,1,4.7uH,C3911513
MOSFET1,SOIC8_751EB_ONS,1,FDS6679AZ,C116730
Q1,PICOSTAR-YJG_TEX,1,CSD87501L,C2841784
"R1, R11, R13, R37, R4, R8",0402,6,10K,C25744
R10,0603,1,30.1K 1%,
"R12, R15, R17, R21, R23, R25, R9",0603,7,0,
R18,0603,1,21.5K/1%,
"R19, R38, R41",0603,3,4.7K/1%,
"R2, R33, R34",0402,3,10K,
R28,0603,1,49.9K,
"R29, R51",0603,2,100K,
R3,0603,1,100,
"R30, R32, R35",2512,3,0.01,C840621
R31,0402,1,27K,
R36,0603,1,560 1%,
R5,0603,1,27K 1%,
R57,0603,1,75K/1%,
R58,0603,1,10K/1%,
R6,0603,1,1K,
R7,0603,1,5.23K 1%,
S1,XDCR_PEC12R-4220F-S0024,1,PEC12R-4220F-S0024,C18164805
SW1,SW-TH_6P-L5.8-W5.8-P2.00-LS4.5-BL_1,1,PS-5850A-6PL,C963201
TH1,PinHeader_1x02_P2.54mm_Vertical,1,103AT-2,
"TP10, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,4,TestPoint,
U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TVS2200DRV,C523793
U11,AUDIO-TH_DC-S011A-D025-20A,1,DC-S011A-D025-20A,C7464915
U12,VQFN-10_L2.0-W2.0-P0.45-TL,1,TPS259474ARPWR,C3662807
U13,QFN-28_4x4mm_P0.5mm,1,STM32L031G6Ux,C96514
"U15, U5",TSOT-23-6,2,SY8253ADC,C93736
U2,RSM0032B-IPC_A,1,TPS25730SRSMR,C22390380
U3,BQ25792,1,BQ25792RQMR,C2862876
U4,VSSOP-10_3x3mm_P0.5mm,1,INA226,
U6,RYQ0021A-MFG,1,TPS55289RYQR,C5942077
U7,VSSOP-10_3x3mm_P0.5mm,1,INA226,C49851
U8,DMY0003A,1,ESD122DMYR,C1975871
U9,DBV5_TEX,1,TPS70933DBVR,C89347
USB1,USB-C-SMD_GT-USB-7051A,1,GT-USB-7051A,C2843970
