Designator,Mid X,Mid Y,Rotation,Layer
C1,-56.088129,61.375,270.0,top
C10,-45.080001,73.014877,90.0,bottom
C11,-52.530002,71.099999,90.0,top
C12,-23.78,76.4,0.0,top
C13,-50.9,72.669997,270.0,top
C14,-63.219954,68.399675,90.0,top
C15,-65.100001,68.796231,90.0,top
C16,-54.679999,75.934348,90.0,top
C17,-52.530001,75.934349,90.0,top
C18,-50.380001,75.93435,270.0,top
C19,-47.960001,74.984348,0.0,top
C2,-54.5,61.375,270.0,top
C20,-46.0,74.984351,180.0,top
C21,-43.572167,75.934997,90.0,top
C22,-41.480002,77.985646,90.0,top
C23,-39.380002,77.985644,90.0,top
C24,-37.280002,77.985643,90.0,top
C25,-35.180002,77.985643,90.0,top
C26,-51.8,72.775,90.0,bottom
C27,-41.3,71.1,270.0,top
C28,-39.263166,71.1,270.0,top
C29,-43.533166,74.23435,180.0,bottom
C3,-52.911872,61.375,270.0,top
C30,-3.505782,78.609686,90.0,bottom
C31,-1.767441,84.374004,270.0,bottom
C32,-8.158443,84.374002,270.0,bottom
C33,-3.38244,84.374001,90.0,bottom
C34,-6.582442,84.372998,270.0,bottom
C35,-4.987441,84.374002,270.0,bottom
C36,1.594218,78.514685,90.0,bottom
C37,-20.007515,76.4,0.0,top
C38,-54.1675,83.750003,0.0,bottom
C39,-17.4,76.1,0.0,top
C4,-54.679999,71.099999,90.0,top
C40,-23.637516,66.269332,0.0,top
C42,-15.78,72.0,0.0,top
C43,-14.2,72.52,270.0,top
C44,-20.92,70.8,180.0,top
C45,-20.147515,69.469332,180.0,top
C46,-20.147515,67.869332,180.0,top
C47,-20.147515,66.269332,180.0,top
C48,-23.647514,69.469332,0.0,top
C49,-22.87166,70.8,0.0,top
C5,-29.52,61.8,0.0,top
C50,-23.637517,67.869332,0.0,top
C51,0.1,61.265216,90.0,top
C52,-32.725,72.5,180.0,bottom
C53,-32.3,74.8,180.0,bottom
C55,-5.225,68.565,0.0,top
C56,-14.7,69.17,0.0,top
C57,-47.2,66.004875,180.0,top
C58,-46.729999,60.4,180.0,top
C6,-62.2,68.4,90.0,bottom
C60,4.5,67.8,270.0,bottom
C62,4.490001,77.375,90.0,bottom
C63,-36.2,80.7,90.0,bottom
C64,-36.8,73.1,270.0,bottom
C65,-38.2,73.1,90.0,bottom
C66,-39.7,70.5,180.0,bottom
C67,-35.6,73.1,270.0,bottom
C7,-48.879996,73.014881,90.0,bottom
C70,-54.275,78.650005,0.0,bottom
C74,-59.5,79.8,90.0,bottom
C76,-58.875,75.933333,180.0,bottom
C78,-58.875,74.366667,0.0,bottom
C8,-62.2,61.32,270.0,top
C80,-58.875,72.8,180.0,bottom
C82,-58.875,77.5,180.0,bottom
C9,-63.2,61.32,270.0,top
D2,-54.98,66.32,270.0,bottom
D3,-52.62,66.28,90.0,bottom
D4,2.5,82.0,90.0,top
D7,-64.8,79.144883,270.0,top
FB1,-39.6,72.7,270.0,bottom
H1,-84.0,84.0,270.0,top
H2,8.0,84.0,270.0,top
H3,8.0,62.0,270.0,top
H4,-84.0,62.0,270.0,top
J1,-32.84,83.4,90.0,top
J2,-13.4,80.51,0.0,top
J3,-30.9914,86.5555,0.0,top
J4,-38.25,62.175,180.0,bottom
L1,-46.98,81.214885,0.0,top
L2,-6.605782,79.334684,90.0,bottom
L3,-55.000001,75.550004,0.0,bottom
L4,-21.897515,80.95433,0.0,top
MOSFET1,-31.4,71.735647,270.0,top
NT1,-15.5,75.252677,90.0,top
Q1,-60.5,65.825001,270.0,top
R1,-73.6,82.8,180.0,top
R10,-40.650002,67.000003,0.0,top
R11,-78.6,64.0,180.0,bottom
R12,-42.888165,68.599995,0.0,top
R13,-26.438032,62.075,270.0,top
R15,-75.550705,75.4,0.0,bottom
R17,-75.549999,69.0,0.0,bottom
R18,-2.330782,82.034683,0.0,bottom
R19,0.844216,82.034683,0.0,bottom
R2,-67.850366,61.807872,0.0,top
R21,-75.549998,77.0,0.0,bottom
R23,-75.550001,70.6,0.0,bottom
R25,-26.3,76.2,270.0,top
R28,-26.9,70.584333,180.0,top
R29,-11.085,63.04,0.0,top
R3,-43.1,71.524999,270.0,top
R30,-36.242518,68.781146,90.0,top
R31,-15.77,73.0,0.0,top
R32,-14.699468,65.8,0.0,top
R33,-17.79,72.704333,0.0,top
R34,1.58,60.785216,0.0,top
R35,0.577834,65.8,0.0,top
R36,-9.166968,68.9,180.0,top
R37,-38.0,80.7,270.0,bottom
R38,-28.7,78.7,270.0,bottom
R4,-77.5,82.8,0.0,top
R41,-31.2,78.3,270.0,bottom
R5,-42.5,72.580012,0.0,bottom
R51,-31.275,79.825,270.0,top
R57,-57.699999,79.825002,270.0,bottom
R58,-57.700002,83.000001,270.0,bottom
R6,-64.8,76.075,270.0,top
R7,-43.775,67.0,180.0,top
R8,-32.1,76.0,180.0,bottom
R9,-26.9,73.784332,180.0,top
S1,-75.55,73.26,180.0,top
SW1,-7.91,73.0,90.0,top
TH1,-44.1,62.705,0.0,bottom
TP1,-71.45,60.58,0.0,top
TP10,-8.6,65.1,180.0,bottom
TP2,-66.8,81.6,0.0,top
TP5,-62.2,72.3,0.0,top
TP7,-76.7,60.58,0.0,top
TP8,-74.1,60.58,0.0,top
TP9,-5.9,65.1,180.0,bottom
U1,-50.69976,62.002678,180.0,top
U11,4.95,73.0,90.0,top
U12,-8.111968,65.8,90.0,top
U13,-36.0,76.9375,180.0,bottom
U15,-54.737501,81.200001,0.0,bottom
U2,-65.3,64.896232,270.0,top
U3,-46.980001,72.13488,0.0,top
U4,-30.45,64.135647,180.0,top
U5,-0.969289,79.084683,90.0,bottom
U6,-21.897515,73.804331,0.0,top
U7,-3.711968,62.015,0.0,top
U8,-53.8,67.9,270.0,bottom
U9,-47.2,63.004875,270.0,top
USB1,-53.8,66.332441,0.0,top
